gene.ids,SRX003935,SRX003921,SRX003924,SRX003923,SRX003925,SRX003932,SRX003920,SRX003922,SRX001291,SRX001364,SRX001365,SRX001366,SRX001367,SRX001368,SRX003931,SRX003929,SRX003928,SRX003934,SRX003926,SRX003927,SRX003930,SRX003933
ENSG00000120688,141,192,171,156,109,134,166,276,72,60,167,226,227,251,129,226,75,145,191,74,195,217
ENSG00000120696,76,51,56,75,74,36,84,35,22,23,67,70,107,88,14,18,29,70,47,29,22,67
ENSG00000120738,342,2007,25,573,2,10872,166,5464,27,35,154,111,222,212,3493,47,490,1058,43,234,204,1076
ENSG00000120798,64,79,87,125,121,59,23,43,51,36,158,152,248,192,43,52,21,101,44,71,41,159
ENSG00000120800,201,172,362,105,206,108,65,72,52,31,80,78,84,104,65,78,82,99,49,147,95,194
ENSG00000120802,695,196,411,334,766,129,38,50,14,10,53,67,136,91,122,30,41,373,30,134,60,428
ENSG00000120805,231,357,279,359,706,331,465,203,162,123,356,324,357,399,401,363,354,421,251,267,266,606
ENSG00000120832,104,50,69,102,135,39,47,56,90,79,288,241,285,290,77,173,75,96,101,47,35,158
ENSG00000120833,36,58,53,171,0,385,33,88,11,9,13,32,24,22,287,89,108,340,17,154,19,328
ENSG00000120837,49,34,54,61,64,39,129,22,53,41,115,128,81,106,111,95,53,173,95,61,72,161
ENSG00000120860,51,91,95,43,88,61,58,59,33,19,81,78,68,60,65,67,57,112,52,54,58,443
ENSG00000120868,55,69,70,51,132,59,114,25,39,40,121,104,77,130,80,21,21,69,76,46,48,72
ENSG00000121031,3101,2995,5485,1476,3430,987,754,469,203,169,558,568,670,678,565,467,241,989,363,1457,1528,1322
ENSG00000121057,644,509,488,861,356,837,205,603,134,122,373,428,606,375,959,1124,303,396,128,165,1941,2089
ENSG00000121058,70,45,38,87,71,23,28,14,20,21,63,43,32,50,13,25,6,28,40,49,33,250
ENSG00000121060,1132,1073,1352,2764,1012,440,109,317,166,139,448,420,484,423,317,120,790,1186,153,544,228,410
ENSG00000121064,102,1542,268,355,250,661,77,460,81,63,290,274,310,190,578,397,117,935,66,119,85,428
ENSG00000121068,154,4,1960,4740,133,1244,78,617,15,17,50,62,86,57,691,127,95,472,22,167,117,1782
ENSG00000121083,2352,447,500,1037,868,587,598,417,391,356,1366,1296,2393,1794,961,497,170,446,309,93,337,1502
ENSG00000121101,101,0,1,77,26,6,2,4,12,10,13,31,33,20,5,1,1,11,6,5,0,761
ENSG00000121270,370,2,5,4,2578,0,6,9,6,0,7,9,11,10,2,0,158,10,2,0,0,156
ENSG00000121274,114,86,126,98,40,80,108,104,53,29,142,133,138,184,140,44,76,161,83,62,83,337
ENSG00000121281,37,539,1112,62,9,207,129,343,32,31,107,107,114,85,136,71,52,1416,57,206,26,182
ENSG00000121297,2,277,45,14,0,392,193,144,6,13,32,20,36,49,669,45,20,256,76,10,43,638
ENSG00000121316,13,5,0,106,28,214,14,125,1,1,6,6,3,3,182,239,101,246,16,38,88,202
ENSG00000121361,0,0,0,33,0,752,50,151,7,10,16,17,22,25,369,394,384,432,22,13,128,199
ENSG00000121406,72,44,54,37,58,21,19,29,32,25,82,99,98,128,35,16,8,32,26,36,26,105
ENSG00000121410,2,63,187,55,126,96,16,32,23,21,68,93,157,61,106,13,6236,208,19,31,6,90
ENSG00000121413,122,8,0,14,97,111,395,77,229,175,587,513,421,459,144,103,38,155,335,56,59,316
ENSG00000121417,84,43,31,37,27,20,31,33,54,55,157,157,178,169,23,39,7,58,43,21,13,63
ENSG00000121552,0,2490,1,19,1,18,2,24,0,0,0,1,0,0,3,3,17,18,0,4,1,3
ENSG00000121680,249,371,1052,521,540,552,229,250,79,87,370,278,359,292,310,53,256,266,79,92,148,624
ENSG00000121691,541,677,571,357,841,3472,334,2281,36,24,103,107,98,110,1267,590,1674,1359,103,230,1018,577
ENSG00000121766,45,70,133,37,46,35,88,21,39,34,110,105,70,108,48,27,10,37,43,40,13,89
ENSG00000121769,1,7,6,2,0,85,324,129,110,64,119,173,140,73,109,10253,7,120,182,30,2437,361
ENSG00000121774,979,994,584,965,857,763,277,339,178,179,611,654,848,662,597,190,104,438,181,327,389,1049
ENSG00000121851,45,76,128,176,120,520,157,304,65,46,200,193,160,195,348,268,160,346,82,92,718,323
